name,ring,quadrant,isNew,description
Spring Cloud,Adopt,Languages & Frameworks,false,"A set of tools for building and deploying microservices-based applications on the Spring framework, providing features like service discovery, configuration management, and circuit breakers."
Spring Web,Adopt,Languages & Frameworks,false,"A part of the Spring Framework that focuses on building web applications, including RESTful services and web applications with MVC architecture."
Spring Doc OpenAPI,Adopt,Languages & Frameworks,false,"A library that generates OpenAPI documentation for Spring Boot applications, making it easier to create and maintain API documentation."
Spring security,Adopt,Languages & Frameworks,false,"A powerful and highly customizable authentication and access-control framework for Java applications, providing comprehensive security services."
Lombok,Adopt,Languages & Frameworks,false,"A Java library that helps to reduce boilerplate code by generating common methods like getters, setters, and constructors at compile time."
Mockito,Adopt,Languages & Frameworks,false,"A popular Java-based mocking framework used for unit testing, allowing developers to create and configure mock objects for testing purposes."
React,Adopt,Languages & Frameworks,false,"A JavaScript library for building user interfaces, maintained by Facebook and a community of developers."
TypeScript,Adopt,Languages & Frameworks,false,"A superset of JavaScript that adds static typing, developed and maintained by Microsoft."
Next.js,Adopt,Languages & Frameworks,false,"Next.js is an opinionated, zero-configuration framework that includes simplified routing, automatic compilation and bundling."
Fastify,Adopt,Languages & Frameworks,false,"Fastify is a web framework highly focused on providing the best developer experience with the least overhead and a powerful plugin architecture."
Amplify gen2,Adopt,Languages & Frameworks,false,"Amplify Gen2 is a framework for building cloud-powered mobile and web applications, providing a set of tools and services to simplify development and deployment."
Express.js,Hold,Languages & Frameworks,false,"Phasing out in favor of Fastify. No new projects should use Express.js for web application development."
Python3,Adopt,Languages & Frameworks,false,"Python 3 introduced many useful features that are not backward compatible with Python 2.x."
Django,Hold,Languages & Frameworks,false,"Phasing out in favor of Flask. No new projects should use Django for web application development."
Flask,Adopt,Languages & Frameworks,false,"A lightweight WSGI web application framework in Python, known for its simplicity and flexibility."
SDKMAN,Adopt,Tools,false,"A tool for managing parallel versions of multiple Software Development Kits on most Unix-based systems."
Terraform,Adopt,Tools,false,"An open-source infrastructure as code software tool that provides a consistent CLI workflow to manage hundreds of cloud services."
Terragrunt,Adopt,Tools,false,"A thin wrapper for Terraform that provides extra tools for keeping your configurations DRY, working with multiple Terraform modules, and managing remote state."
Prometheus,Adopt,Tools,false,"An open-source systems monitoring and alerting toolkit originally built at SoundCloud, known for its powerful querying language and time-series data model."
Grafana,Adopt,Tools,false,"An open-source platform for monitoring and observability, allowing users to query, visualize, alert on, and understand their metrics no matter where they are stored."
GitHub Actions,Adopt,Tools,false,"A CI/CD platform that allows you to automate your build, test, and deployment pipeline right from GitHub."
Jenkins,Hold,Tools,false,"Phasing out in favor of GitHub Actions. No new projects should use Jenkins for CI/CD pipelines."
CodeCommit,Hold,Tools,false,"Phasing out in favor of GitHub. No new projects should use CodeCommit for version control."
CodePipeline,Hold,Tools,false,"Phasing out in favor of GitHub Actions. No new projects should use CodePipeline for CI/CD pipelines."
Grafana Loki,Trial,Tools,true,"A log aggregation system designed to store and query logs from all your applications and infrastructure."
Helm,Adopt,Tools,false,"A package manager for Kubernetes that helps you manage Kubernetes applications."
OpenTelemetry,Trial,Tools,true,"An open-source observability framework for cloud-native software, providing APIs and SDKs for generating, collecting, and exporting telemetry data."
Jaeger,Trial,Tools,true,"An open-source, end-to-end distributed tracing tool used for monitoring and troubleshooting microservices-based distributed systems."
CircleCI,Trial,Tools,true,"A continuous integration and continuous delivery platform that automates development workflows."
Selenium,Adopt,Tools,false,"An open-source tool for automating web browsers, primarily used for testing web applications."
Cypress,Adopt,Tools,false,"A front-end testing tool built for the modern web, enabling developers to write and run tests for web applications."
Cucumber,Adopt,Tools,false,"A tool for running automated tests written in plain language, promoting collaboration between technical and non-technical team members."
VsCode,Adopt,Tools,false,"A lightweight but powerful source code editor which runs on your desktop and is available for Windows, macOS and Linux."
IntelliJ IDEA,Hold,Tools,false,"Phasing out in favor of VsCode. No new projects should use IntelliJ IDEA as the primary code editor."
MsTeam,Adopt,Tools,false,"A collaboration platform that combines workplace chat, meetings, notes, and attachments."
Slack,Adopt,Tools,false,"A messaging app for teams that brings all communication together, creating a single unified archive accessible through powerful search."
iTerm2,Adopt,Tools,false,"A terminal emulator for macOS that offers features like split panes, hotkeys, and extensive customization options."
Draw.io,Adopt,Tools,false,"A web-based diagramming tool that allows users to create flowcharts, process diagrams, and other visual representations."
Pre-commit hooks,Trial,Techniques,true,"A framework for managing and maintaining multi-language pre-commit hooks, ensuring code quality before commits are made."
GitOps,Trial,Techniques,true,"A set of practices that use Git repositories as the source of truth for declarative infrastructure and applications."
Argo CD,Trial,Tools,true,"A declarative, GitOps continuous delivery tool for Kubernetes that automates the deployment of applications and infrastructure."
FluxCD,Trial,Tools,true,"A set of continuous and progressive delivery solutions for Kubernetes that are open and extensible."
Infrastructure as Code (IaC),Adopt,Techniques,false,"The practice of managing and provisioning computing infrastructure through machine-readable definition files, rather than physical hardware configuration or interactive configuration tools."
Microservices Architecture,Adopt,Techniques,false,"An architectural style that structures an application as a collection of loosely coupled services, which implement business capabilities."
CI/CD Pipelines,Adopt,Techniques,false,"A set of practices that enable development teams to deliver code changes more frequently and reliably through automated testing and deployment processes."
Test-Driven Development (TDD),Adopt,Techniques,false,"A software development approach where tests are written before the code, ensuring that the code meets the specified requirements."
Behavior-Driven Development (BDD),Adopt,Techniques,false,"An extension of TDD that encourages collaboration between developers, QA, and non-technical stakeholders through shared examples and scenarios."
Agile Methodologies,Adopt,Techniques,false,"A set of principles for software development that emphasizes iterative development, collaboration, and flexibility to change."
Scrum,Adopt,Techniques,false,"An agile framework for managing complex projects, focusing on iterative progress, collaboration, and adaptability."
Git Signed Commits,Adopt,Techniques,false,"A method of signing Git commits and tags to verify the authenticity and integrity of the code changes."
BPMN for Process Modeling,Adopt,Techniques,false,"A graphical representation for specifying business processes in a business process model, widely used for process automation and improvement."
Event-Driven Architecture,Adopt,Techniques,false,"A software architecture pattern that promotes the production, detection, consumption, and reaction to events, enabling real-time processing and responsiveness."
Serverless Architecture,Adopt,Techniques,false,"A cloud computing execution model where the cloud provider dynamically manages the allocation and provisioning of servers, allowing developers to focus on code without managing infrastructure."
Zero Trust Security Model,Adopt,Techniques,false,"A security concept that assumes no implicit trust is granted to assets or user accounts based solely on their physical or network location."
DevSecOps,Adopt,Techniques,false,"An approach that integrates security practices within the DevOps process, ensuring that security is a shared responsibility throughout the software development lifecycle."
Chaos Engineering,Assess,Techniques,true,"The discipline of experimenting on a system to build confidence in its capability to withstand turbulent conditions in production."
Site Reliability Engineering (SRE),Adopt,Techniques,true,"A discipline that incorporates aspects of software engineering and applies them to infrastructure and operations problems, with the goal of creating scalable and highly reliable"
